"spkid","H","diameter","albedo","rot_per","GM","BV","UB","IR","epoch","epoch_mjd","e","a","q","i","om","w","ma","ad","tp","per"
20000433,10.41,16.84,0.25,5.27,4.463e-04,0.921,0.531,,2460600.5,60600,0.2227,1.458,1.133,10.83,304.27,178.91,86.67,1.78,2460445.66,643
20000719,15.59,,,5.801,,,,,2460600.5,60600,0.5468,2.636,1.195,11.58,183.86,156.22,148.45,4.08,2459955.83,1.56e+03
20000887,13.88,4.2,0.31,28.41,,0.832,0.436,,2460600.5,60600,0.5711,2.473,1.060,9.40,110.42,350.47,340.20,3.88,2460678.61,1.42e+03
20001036,9.25,37.675,0.238,10.297,,0.842,0.417,,2460600.5,60600,0.5328,2.665,1.245,26.69,215.49,132.50,6.98,4.09,2460569.66,1.59e+03
20001221,17.38,1.0,,,,,,,2460600.5,60600,0.4347,1.92,1.085,11.87,171.26,26.72,271.70,2.75,2460838.87,972
20001566,16.57,1.0,0.51,2.2726,,0.774,0.520,,2460600.5,60600,0.8270,1.078,0.187,22.80,87.95,31.43,160.86,1.97,2460417.82,409
20001580,14.69,5.8,0.08,6.1324,,0.656,0.249,,2460600.5,60600,0.4876,2.195,1.125,52.19,62.23,159.73,319.03,3.27,2460735.68,1.19e+03
20001620,15.27,2.56,0.290,5.22204,,0.862,0.471,,2460600.5,60600,0.3356,1.246,0.828,13.34,337.15,277.01,289.36,1.66,2460700.14,508
20001627,12.84,9.12,0.15,4.795,,0.872,0.459,,2460600.5,60600,0.3970,1.863,1.124,8.45,133.08,167.84,156.41,2.60,2460196.84,929
20001685,14.28,3.4,0.31,10.1995,,0.880,0.470,,2460600.5,60600,0.4361,1.368,0.771,9.38,274.21,127.27,196.26,1.96,2460866.28,584
20001862,16.08,1.5,0.25,3.065,,0.819,0.481,,2460600.5,60600,0.5599,1.471,0.647,6.35,35.56,286.03,252.87,2.29,2460794.35,651
20001863,15.45,2.1,0.24,7.453,,0.763,0.359,,2460600.5,60600,0.6063,2.261,0.890,18.35,346.00,268.57,173.83,3.63,2460000.70,1.24e+03
20001864,14.86,3.7,0.273,8.572,,0.830,0.500,,2460600.5,60600,0.6143,1.461,0.564,22.21,6.61,325.66,34.28,2.36,2460539.09,645
20001865,16.79,1.2,0.22,6.8039,,0.790,0.442,,2460600.5,60600,0.4668,1.08,0.576,16.10,212.89,325.29,328.39,1.58,2460636.50,410
20001866,12.52,8.48,0.15,2.4,,,,,2460600.5,60600,0.5380,1.894,0.875,41.21,63.45,293.12,349.34,2.91,2460628.69,952
20001915,18.38,0.5,0.21,4.9,,0.784,0.430,,2460600.5,60600,0.5703,2.544,1.093,20.40,162.93,347.77,284.48,4.00,2460911.48,1.48e+03
20001916,14.95,3.5,,3.4746,,0.852,0.407,,2460600.5,60600,0.4493,2.273,1.252,12.88,340.60,335.86,280.05,3.29,2460878.45,1.25e+03
20001917,14.41,5.7,0.195,2.689,,,,,2460600.5,60600,0.5057,2.149,1.062,23.96,188.28,194.56,34.92,3.24,2460488.87,1.15e+03
20001943,15.70,2.3,0.17,2.86923,,0.841,0.444,,2460600.5,60600,0.2561,1.43,1.064,8.71,246.30,338.46,29.90,1.80,2460548.59,625
20001980,13.85,4.3,0.25,7.24612,,0.955,0.455,,2460600.5,60600,0.3647,1.71,1.086,26.87,246.54,115.51,35.06,2.33,2460520.99,817
20001981,15.28,3.4,,5.22,,,,,2460600.5,60600,0.6505,1.776,0.621,39.82,356.80,267.84,258.81,2.93,2460843.56,865
20002059,15.98,,,129.47,,,,,2460600.5,60600,0.5318,2.642,1.237,11.02,200.69,192.45,51.33,4.05,2460376.92,1.57e+03
20002061,16.70,2.6,,6.712,,0.825,0.350,,2460600.5,60600,0.5356,2.265,1.052,3.80,207.36,157.09,283.26,3.48,2460865.95,1.25e+03
20002062,17.11,1.1,0.26,42.15,,0.930,0.460,,2460600.5,60600,0.1829,0.967,0.790,18.93,108.53,148.06,338.03,1.14,2460621.70,347
20002063,17.21,1.024,0.203,14.904,,,,,2460600.5,60600,0.3494,1.078,0.701,9.44,33.04,55.34,242.55,1.45,2460733.87,409
20002100,16.23,2.3,0.13,19.797,,0.712,0.310,,2460600.5,60600,0.4365,0.832,0.469,15.75,170.78,356.08,89.62,1.20,2460531.49,277
20002101,18.72,0.6,,,,,,,2460600.5,60600,0.7642,1.874,0.442,1.32,349.43,43.69,230.82,3.31,2460936.75,937
20002102,16.00,1.649,0.245,2.384,,,,,2460600.5,60600,0.2993,1.29,0.904,64.00,94.35,61.52,78.27,1.68,2460484.14,535
20002135,18.05,,,,,,,,2460600.5,60600,0.5030,1.6,0.795,23.07,191.11,290.97,202.31,2.40,2460924.20,739
20002201,15.36,1.80,0.4328,26,,,,,2460600.5,60600,0.7107,2.179,0.630,2.52,74.87,98.37,334.42,3.73,2460683.95,1.17e+03
20002202,17.15,,,,,,,,2460600.5,60600,0.5128,2.291,1.116,8.74,169.91,217.99,355.86,3.47,2460615.08,1.27e+03
