"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class"
1000036,"    1P/Halley",1P,"JPL 74",11.0,0.9679,17.93,0.575,162.20,59.07,274.81,35.28,2446469.70,"Davide Farnocchia",1835-08-21,1994-01-11,8518,112.21,HTC
1000025,"    2P/Encke",2P,"JPL K232/8",4.8,0.8483,2.22,0.337,11.47,334.28,222.67,4.10,2460239.25,"Davide Farnocchia",2018-11-05,2024-10-06,585,187.05,ETc
1000504,"    3D/Biela",3D,IAUCAT03,,0.7513,3.535,0.879,13.22,250.67,0.95,6.19,2390514.12,Marsden,,,26,221.66,JFc
1000026,"    4P/Faye",4P,"JPL K212/32",3.54,0.5845,3.798,1.578,8.16,194.80,234.73,6.02,2459463.19,"Davide Farnocchia",2013-05-23,2023-03-25,3562,205.99,JFc
1000505,"    5D/Brorsen",5D,IAUCAT03,,0.8098,3.101,0.590,29.38,102.97,0.17,5.61,2407439.53,Landgraf,,,127,14.95,JFc
1000017,"    6P/d'Arrest",6P,"JPL K212/13",3.2,0.6127,3.497,1.355,19.51,138.94,333.96,5.64,2459475.29,"Davide Farnocchia",2014-03-10,2022-03-01,1093,178.11,JFc
1000069,"    7P/Pons-Winnecke",7P,"JPL 30",5.2,0.6376,3.419,1.239,22.33,93.42,13.17,5.60,2457053.03,"Davide Farnocchia",1921-04-28,2022-12-16,1679,172.51,JFc
1000099,"    8P/Tuttle",8P,"JPL K215/24",4.5,0.8198,5.7,1.027,54.98,270.34,15.13,10.37,2454492.52,"Davide Farnocchia",1967-01-07,2022-03-20,1768,207.51,JFC
1000093,"    9P/Tempel 1",9P,"JPL K223/45",6.0,0.5097,3.146,1.543,10.47,68.76,333.06,4.75,2457603.07,"Davide Farnocchia",2008-10-25,2024-01-05,3264,179.19,JFc
1000094,"   10P/Tempel 2",10P,"JPL K265/11",10.6,0.5364,3.065,1.421,12.03,117.80,191.17,4.71,2457341.59,"Davide Farnocchia",2003-03-07,2024-04-07,4534,195.54,JFc
1000365,"   11P/Tempel-Swift-LINEAR",11P,"JPL K204/13",,0.5774,3.289,1.390,14.44,238.99,295.54,5.19,2459179.51,"Davide Farnocchia",2001-12-07,2021-02-07,1182,167.77,JFc
1000068,"   12P/Pons-Brooks",12P,"JPL K242/75",,0.9546,17.18,0.781,74.19,255.86,357.07,33.59,2460421.63,"Davide Farnocchia",1953-06-20,2024-09-01,8017,198.99,HTC
1000066,"   13P/Olbers",13P,"JPL 56",,0.9297,16.67,1.171,44.63,85.84,338.47,32.17,2460492.21,"Davide Farnocchia",1887-08-27,2024-10-10,2291,64.56,HTC
1000110,"   14P/Wolf",14P,"JPL K265/2",4.66,0.3571,4.248,2.731,27.94,202.11,136.38,5.77,2454889.84,"Davide Farnocchia",1992-07-27,2024-06-07,381,159.23,JFc
1000027,"   15P/Finlay",15P,"JPL K213/18",,0.7202,3.49,0.977,6.80,13.75,46.69,6.00,2457018.57,"Davide Farnocchia",2008-04-27,2022-03-03,1655,347.63,JFc
1000008,"   16P/Brooks 2",16P,"JPL K212/8",,0.5690,3.375,1.455,4.31,159.34,115.79,5.29,2456823.27,"Davide Farnocchia",2014-05-05,2022-01-29,256,220.17,JFc
1000044,"   17P/Holmes",17P,"JPL K212/34",3.42,0.4302,3.626,2.066,19.07,326.77,133.79,5.19,2456743.22,"Davide Farnocchia",2011-01-04,2023-01-22,2211,24.74,JFc
1000144,"   18D/Perrine-Mrkos",18D,"JPL J682/18",,0.6426,3.56,1.272,17.76,240.88,11.51,5.85,2440162.04,"M.S.W. Keesey",1961-11-29,1968-12-26,16,166.05,JFc
1000005,"   19P/Borrelly",19P,"JPL K222/16",4.8,0.6379,3.607,1.306,29.32,74.30,312.12,5.91,2459612.26,"Davide Farnocchia",2014-07-29,2024-05-02,2448,351.86,JFc
1000212,"   20D/Westphal",20D,"JPL 19",,0.9198,15.64,1.254,40.89,348.01,359.72,30.03,2420098.29,"M.S.W. Keesey",1852-09-01,1913-10-13,201,57.08,HTC
1000032,"   21P/Giacobini-Zinner",21P,"JPL K182/16",2.0,0.7105,3.5,1.013,32.00,195.40,313.91,5.99,2458371.77,"Shantanu Naidu",2011-05-01,2024-06-07,1988,172.81,JFc
1000054,"   22P/Kopff",22P,"JPL K222/42",3.0,0.5486,3.444,1.555,4.74,120.84,187.95,5.33,2459656.39,"Davide Farnocchia",2013-12-30,2024-04-09,2677,162.91,JFc
1000009,"   23P/Brorsen-Metcalf",23P,"JPL 13",,0.9720,17.07,0.479,19.33,311.59,0.27,33.66,2447781.44,"M.S.W. Keesey",1847-08-01,1989-09-09,223,129.61,HTC
1000077,"   24P/Schaumasse",24P,"JPL K173/9",2.6,0.7048,4.086,1.206,11.73,79.67,273.65,6.97,2458074.26,"Shantanu Naidu",2000-10-07,2018-06-19,832,58.00,JFc
1000064,"   25D/Neujmin 2",25D,"JPL 7",,0.5668,3.089,1.338,10.64,328.72,11.58,4.84,2424896.72,"M.S.W. Keesey",1916-03-05,1927-02-10,55,193.70,JFc
1000034,"   26P/Grigg-Skjellerup",26P,"JPL K234/25",2.6,0.6397,3.024,1.090,22.46,211.63,273.42,4.96,2456479.50,"Davide Farnocchia",2007-12-19,2024-10-07,511,1.90,JFc
1000016,"   27P/Crommelin",27P,"JPL 6",,0.9193,9.093,0.734,29.22,250.96,241.87,17.45,2455776.07,"Davide Farnocchia",1956-10-03,2012-01-26,455,195.96,HTC
1000063,"   28P/Neujmin 1",28P,"JPL 82",21.4,0.7736,6.982,1.581,14.31,346.34,40.72,12.38,2459285.26,"Davide Farnocchia",1913-09-08,2024-04-08,1208,347.47,JFc
1000079,"   29P/Schwassmann-Wachmann 1",29P,"JPL K192/80",60.4,0.0448,6.047,5.777,9.36,312.39,89.62,6.32,2458593.29,"Shantanu Naidu",2009-02-17,2022-12-19,624,50.91,JFc
1000070,"   30P/Reinmuth 1",30P,"JPL K243/26",7.8,0.5023,3.772,1.877,8.13,119.73,236.12,5.67,2457984.34,"Davide Farnocchia",2009-08-20,2024-03-29,2276,13.19,JFc
1000080,"   31P/Schwassmann-Wachmann 2",31P,"JPL K193/22",6.2,0.1930,4.243,3.424,4.55,114.19,9.65,5.06,2455468.96,"Shantanu Naidu",2000-11-24,2021-05-30,1019,17.93,JFc
1000015,"   32P/Comas Sola",32P,"JPL K242/32",8.4,0.5564,4.5,1.996,9.95,57.70,186.89,7.00,2460433.00,"Davide Farnocchia",2013-09-24,2024-05-31,3158,53.28,JFc
1000018,"   33P/Daniel",33P,"JPL K244/1",2.6,0.4625,4.03,2.166,22.39,66.54,107.88,5.89,2454668.00,"Davide Farnocchia",1999-11-13,2024-10-08,420,18.90,JFc
1000284,"   34D/Gale",34D,SAO/1938,,0.7607,4.944,1.183,11.73,67.92,1.12,8.70,2429067.98,Marsden,1927-??-??,1938-??-??,47,209.16,JFc
1000043,"   35P/Herschel-Rigollet",35P,SAO/1939,,0.9740,28.84,0.748,64.21,355.98,359.97,56.94,2429484.96,Marsden,1788-??-??,1940-??-??,75,29.30,HTC
1000105,"   36P/Whipple",36P,"JPL 24",4.56,0.2582,4.165,3.089,9.94,182.39,216.49,5.24,2455927.98,"Davide Farnocchia",1948-07-18,2022-03-06,943,201.96,JFc
1000028,"   37P/Forbes",37P,"JPL K243/19",1.92,0.5342,3.457,1.611,8.96,314.58,53.33,5.30,2458242.66,"Shantanu Naidu",2011-02-08,2024-10-03,1681,330.01,JFc
1000089,"   38P/Stephan-Oterma",38P,"JPL 22",,0.8593,11.29,1.589,18.35,78.00,355.56,20.99,2458433.49,"Javier Roa",1942-11-06,2020-05-21,3265,359.59,HTC
1000177,"   39P/Oterma",39P,"JPL 24",,0.2284,7.403,5.712,1.48,303.64,210.80,9.09,2460043.78,"Davide Farnocchia",1942-02-17,2023-11-10,287,89.70,CTc
1000101,"   40P/Vaisala 1",40P,"JPL K148/7",4.2,0.6316,4.94,1.820,11.49,133.84,25.60,8.06,2456977.34,"Ryan S. Park",1939-01-18,2015-07-08,1128,47.29,JFc
1000100,"   41P/Tuttle-Giacobini-Kresak",41P,"JPL K222/6",1.4,0.6613,3.085,1.045,9.23,141.06,0.23,5.13,2457856.25,"Davide Farnocchia",2016-11-10,2023-09-13,4300,62.17,JFc
1000065,"   42P/Neujmin 3",42P,"JPL K155/2",2.2,0.5842,4.876,2.028,3.98,150.28,23.78,7.73,2457120.71,"Ryan S. Park",1972-04-17,2015-10-09,297,147.12,JFc
1000111,"   43P/Wolf-Harrington",43P,"JPL K253/5",3.6,0.5947,3.35,1.358,15.97,249.84,297.04,5.34,2457620.17,"Shantanu Naidu",2009-05-24,2024-10-04,1861,191.59,JFc
1000071,"   44P/Reinmuth 2",44P,"JPL K222/3",3.22,0.4270,3.689,2.114,5.90,286.48,255.16,5.26,2459693.19,"Davide Farnocchia",2014-05-01,2024-03-14,1496,58.12,JFc
1000045,"   45P/Honda-Mrkos-Pajdusakova",45P,"JPL K222/7",1.6,0.8240,3.026,0.533,4.25,88.93,42.26,5.52,2457753.78,"Davide Farnocchia",2016-11-05,2022-07-04,1823,326.34,JFc
1000109,"   46P/Wirtanen",46P,"JPL K243/4",1.2,0.6588,3.093,1.055,11.75,82.16,0.01,5.13,2458465.43,"Davide Farnocchia",2013-10-30,2023-12-10,4224,356.34,JFc
1000003,"   47P/Ashbrook-Jackson",47P,"JPL K257/5",5.6,0.3188,4.114,2.802,13.05,356.98,95.64,5.43,2454863.90,"Davide Farnocchia",1977-04-28,2024-08-07,2768,357.84,JFc
1000049,"   48P/Johnson",48P,"JPL K253/9",5.74,0.4290,3.514,2.006,12.30,111.57,233.06,5.02,2458338.97,"Davide Farnocchia",2010-07-08,2024-10-11,1604,214.56,JFc
1000002,"   49P/Arend-Rigaux",49P,"JPL K254/23",8.48,0.6004,3.564,1.424,19.05,118.87,40.72,5.70,2455853.60,"Davide Farnocchia",2004-06-24,2024-10-11,3585,332.81,JFc
1000001,"   50P/Arend",50P,"JPL K244/8",1.9,0.5300,4.088,1.921,19.16,355.32,109.62,6.25,2454406.18,"Shantanu Naidu",1999-08-03,2024-10-01,1736,49.01,JFc
1000038,"   51P/Harrington",51P,"JPL K222/3",4.8,0.5420,3.71,1.699,5.42,83.72,93.59,5.72,2457246.91,"Davide Farnocchia",2015-05-25,2022-10-16,99,269.16,JFc
1000039,"   52P/Harrington-Abell",52P,"JPL K212/21",2.6,0.5400,3.859,1.775,10.23,336.84,111.11,5.94,2456723.86,"Davide Farnocchia",2013-10-01,2022-05-26,1164,139.66,JFc
1000102,"   53P/Van Biesbroeck",53P,"JPL K162/10",6.66,0.5511,5.405,2.426,6.61,148.90,225.17,8.38,2457509.31,"Davide Farnocchia",2001-02-20,2018-02-03,2920,134.26,JFc
1000019,"   54P/de Vico-Swift-NEAT",54P,"JPL K243/7",,0.4257,3.792,2.178,6.06,358.81,179.98,5.41,2457859.89,"Davide Farnocchia",2009-08-15,2024-10-09,224,1.77,JFc
1000095,"   55P/Tempel-Tuttle",55P,"JPL J985/69",3.6,0.9056,10.34,0.976,162.49,235.27,4.98,19.70,2450872.60,"M.S.W. Keesey",1865-12-22,1998-07-05,392,172.50,HTC
1000087,"   56P/Slaughter-Burnham",56P,"JPL K162/5",3.12,0.5073,5.086,2.506,8.15,346.04,267.96,7.67,2457587.58,"Davide Farnocchia",2004-07-15,2018-01-23,1986,44.22,JFc
1000023,"   57P/duToit-Neujmin-Delporte",57P,"JPL K213/32",,0.4998,3.45,1.726,2.85,188.81,155.88,5.17,2457165.02,"Shantanu Naidu",2008-04-02,2023-02-09,1383,115.13,JFc
1000048,"   58P/Jackson-Neujmin",58P,"JPL K201/5",,0.6626,4.083,1.377,13.11,159.08,5.57,6.79,2458996.92,"Davide Farnocchia",2020-04-08,2020-11-23,141,200.44,JFc
1000050,"   59P/Kearns-Kwee",59P,"JPL K182/6",1.58,0.4764,4.491,2.352,9.34,312.86,176.09,6.63,2454900.12,"Davide Farnocchia",2008-07-09,2019-04-08,1270,127.75,JFc
1000098,"   60P/Tsuchinshan 2",60P,"JPL K183/6",,0.5385,3.51,1.620,3.61,267.66,173.75,5.40,2456061.39,"Davide Farnocchia",2005-10-05,2019-06-23,1406,216.49,JFc
1000082,"   61P/Shajn-Schaldach",61P,"JPL K222/30",2.4,0.4242,3.692,2.126,6.00,162.97,356.69,5.26,2459876.32,"Davide Farnocchia",2017-01-27,2024-02-09,895,221.66,JFc
1000097,"   62P/Tsuchinshan 1",62P,"JPL K234/32",,0.5975,3.438,1.384,9.71,90.24,355.81,5.49,2458073.62,"Shantanu Naidu",2004-09-14,2024-06-01,3345,30.35,JFc
1000106,"   63P/Wild 1",63P,"JPL 31",2.9,0.6509,5.588,1.951,19.78,358.00,24.19,9.22,2456393.33,"Ryan S. Park",1960-04-16,2013-08-27,1948,169.03,JFc
1000090,"   64P/Swift-Gehrels",64P,"JPL K183/9",3.2,0.6873,4.456,1.393,8.95,300.00,325.43,7.52,2458426.41,"Davide Farnocchia",2000-12-22,2019-05-04,3436,97.14,JFc
1000035,"   65P/Gunn",65P,"JPL K252/26",10.8,0.2500,3.883,2.912,9.18,62.02,104.25,4.85,2458044.12,"Davide Farnocchia",2014-02-04,2024-08-18,2827,213.74,JFc
