"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class","moid"
20001566,"  1566 Icarus (1949 MA)",1566,"JPL 182",1.0,0.8270,1.078,0.187,22.80,87.95,160.86,1.97,2460417.82,"Otto Matic",1949-07-01,2024-08-01,1755,31.43,APO,0.0342
20001620,"  1620 Geographos (1951 RA)",1620,"JPL 764",2.56,0.3356,1.246,0.828,13.34,337.15,289.36,1.66,2460700.14,"Otto Matic",1951-09-14,2024-01-27,8159,277.01,APO,0.03
20001685,"  1685 Toro (1948 OA)",1685,"JPL 813",3.4,0.4361,1.368,0.771,9.38,274.21,196.26,1.96,2460866.28,"Otto Matic",1948-07-17,2024-07-28,5575,127.27,APO,0.0504
20001862,"  1862 Apollo (1932 HA)",1862,"JPL 534",1.5,0.5599,1.471,0.647,6.35,35.56,252.87,2.29,2460794.35,"Otto Matic",1930-12-13,2024-02-24,3461,286.03,APO,0.026
20001863,"  1863 Antinous (1948 EA)",1863,"JPL 238",2.1,0.6063,2.261,0.890,18.35,346.00,173.83,3.63,2460000.70,"Otto Matic",1948-03-05,2023-12-30,1369,268.57,APO,0.187
20001864,"  1864 Daedalus (1971 FA)",1864,"JPL 736",3.7,0.6143,1.461,0.564,22.21,6.61,34.28,2.36,2460539.09,"Otto Matic",1971-03-24,2024-10-12,5992,325.66,APO,0.27
20001865,"  1865 Cerberus (1971 UA)",1865,"JPL 360",1.2,0.4668,1.08,0.576,16.10,212.89,328.39,1.58,2460636.50,"Otto Matic",1971-11-10,2024-10-03,2359,325.29,APO,0.157
20001866,"  1866 Sisyphus (1972 XA)",1866,"JPL 1031",8.48,0.5380,1.894,0.875,41.21,63.45,349.34,2.91,2460628.69,"Otto Matic",1955-01-26,2024-09-25,9077,293.12,APO,0.104
20001981,"  1981 Midas (1973 EA)",1981,"JPL 232",3.4,0.6505,1.776,0.621,39.82,356.80,258.81,2.93,2460843.56,"Otto Matic",1973-03-06,2023-10-26,1203,267.84,APO,0.00488
20002063,"  2063 Bacchus (1977 HB)",2063,"JPL 241",1.024,0.3494,1.078,0.701,9.44,33.04,242.55,1.45,2460733.87,"Otto Matic",1977-04-24,2024-07-03,1482,55.34,APO,0.0679
20002101,"  2101 Adonis (1936 CA)",2101,"JPL 47",0.6,0.7642,1.874,0.442,1.32,349.43,230.82,3.31,2460936.75,"Otto Matic",1936-02-21,2020-06-09,123,43.69,APO,0.0116
20002102,"  2102 Tantalus (1975 YA)",2102,"JPL 260",1.649,0.2993,1.29,0.904,64.00,94.35,78.27,1.68,2460484.14,"Otto Matic",1976-01-02,2023-08-11,2148,61.52,APO,0.0436
20002135,"  2135 Aristaeus (1977 HA)",2135,"JPL 24",,0.5030,1.6,0.795,23.07,191.11,202.31,2.40,2460924.20,"Otto Matic",1977-04-17,2020-05-30,61,290.97,APO,0.011
20002201,"  2201 Oljato (1947 XC)",2201,"JPL 275",1.80,0.7107,2.179,0.630,2.52,74.87,334.42,3.73,2460683.95,"Otto Matic",1931-12-03,2024-10-12,1446,98.37,APO,0.00259
20002212,"  2212 Hephaistos (1978 SB)",2212,"JPL 671",5.7,0.8361,2.166,0.355,11.31,27.01,184.81,3.98,2461167.29,"Otto Matic",1978-09-27,2024-10-01,4277,210.05,APO,0.113
20002329,"  2329 Orthos (1976 WA)",2329,"JPL 376",,0.6533,2.41,0.836,24.46,169.28,325.99,3.99,2460729.64,"Otto Matic",1976-05-31,2024-04-11,1981,146.05,APO,0.0931
20003103,"  3103 Eger (1982 BB)",3103,"JPL 833",1.5,0.3542,1.404,0.907,20.93,129.73,304.12,1.90,2460694.82,"Otto Matic",1982-01-21,2024-09-22,8370,254.12,APO,0.0799
20003200,"  3200 Phaethon (1983 TB)",3200,"JPL 812",6.25,0.8898,1.271,0.140,22.31,265.10,248.98,2.40,2460762.00,"Otto Matic",1983-10-27,2024-10-12,7098,322.31,APO,0.0187
20003360,"  3360 Syrinx (1981 VA)",3360,"JPL 136",1.8,0.7457,2.468,0.628,21.14,242.46,49.58,4.31,2460405.44,"Otto Matic",1981-11-04,2023-01-24,646,63.56,APO,0.106
20003361,"  3361 Orpheus (1982 HR)",3361,"JPL 185",0.3,0.3229,1.21,0.820,2.66,188.68,24.54,1.60,2460567.34,"Otto Matic",1982-04-24,2022-06-04,2744,302.34,APO,0.0138
20003671,"  3671 Dionysus (1984 KD)",3671,"JPL 210",1.5,0.5420,2.2,1.008,13.54,82.05,131.35,3.39,2460165.58,"Otto Matic",1984-05-27,2024-01-13,1117,204.33,APO,0.022
20003752,"  3752 Camillo (1985 PA)",3752,"JPL 476",2.306,0.3016,1.414,0.987,55.56,147.96,8.79,1.84,2460585.52,"Otto Matic",1976-01-28,2024-07-19,2947,312.22,APO,0.0799
20003757,"  3757 Anagolay (1982 XB)",3757,"JPL 57",0.5,0.4459,1.834,1.017,3.87,74.93,293.70,2.65,2460767.65,"Otto Matic",1982-12-14,2024-08-03,209,17.24,APO,0.0372
20003838,"  3838 Epona (1986 WA)",3838,"JPL 218",,0.7027,1.505,0.447,29.20,235.47,225.76,2.56,2460851.91,"Otto Matic",1986-11-30,2024-03-18,1516,49.72,APO,0.159
20004015,"  4015 Wilson-Harrington (1979 VA)",4015,"JPL 331",4,0.6312,2.626,0.968,2.80,266.73,181.75,4.28,2461369.95,"Otto Matic",1949-11-19,2024-03-10,1514,95.52,APO,0.0429
20004034,"  4034 Vishnu (1986 PA)",4034,"JPL 138",0.42,0.4441,1.06,0.589,11.17,157.89,260.40,1.53,2460710.71,"Otto Matic",1986-08-02,2024-08-03,808,296.70,APO,0.0195
20004179,"  4179 Toutatis (1989 AC)",4179,"JPL 645",5.4,0.6248,2.543,0.954,0.45,125.36,339.68,4.13,2460684.14,"Otto Matic",1934-02-10,2024-10-02,6798,277.88,APO,0.00649
20004183,"  4183 Cuno (1959 LM)",4183,"JPL 654",3.651,0.6361,1.981,0.721,6.67,294.35,175.91,3.24,2460102.94,"Otto Matic",1959-06-05,2024-10-09,3840,237.02,APO,0.0281
20004197,"  4197 Morpheus (1982 TA)",4197,"JPL 201",1.8,0.7724,2.295,0.522,12.60,7.01,357.11,4.07,2460610.68,"Otto Matic",1954-09-03,2024-10-01,1189,122.55,APO,0.0985
20004257,"  4257 Ubasti (1987 QA)",4257,"JPL 336",,0.4683,1.647,0.876,40.72,169.15,160.95,2.42,2460255.27,"Otto Matic",1987-08-23,2024-06-25,1705,278.94,APO,0.171
20004341,"  4341 Poseidon (1987 KF)",4341,"JPL 178",3.177,0.6800,1.834,0.587,11.84,108.03,44.04,3.08,2460489.51,"Otto Matic",1987-05-29,2023-10-31,900,15.83,APO,0.194
20004450,"  4450 Pan (1987 SY)",4450,"JPL 259",,0.5866,1.443,0.596,5.52,311.70,192.17,2.29,2460895.52,"Otto Matic",1937-02-06,2022-12-24,1513,291.94,APO,0.0289
20004486,"  4486 Mithra (1987 SB)",4486,"JPL 364",1.849,0.6620,2.205,0.745,3.04,82.18,156.61,3.67,2460080.09,"Otto Matic",1987-01-29,2023-12-06,1886,169.12,APO,0.0462
20004544,"  4544 Xanthus (1989 FB)",4544,"JPL 405",1.3,0.2501,1.042,0.781,14.14,23.95,354.50,1.30,2460606.44,"Otto Matic",1989-03-30,2024-05-26,2392,333.83,APO,0.173
