"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class","moid"
20001566,"  1566 Icarus (1949 MA)",1566,"JPL 182",1.0,0.8270,1.078,0.187,22.80,87.95,160.86,1.97,2460417.82,"Otto Matic",1949-07-01,2024-08-01,1755,31.43,APO,0.0342
20001620,"  1620 Geographos (1951 RA)",1620,"JPL 764",2.56,0.3356,1.246,0.828,13.34,337.15,289.36,1.66,2460700.14,"Otto Matic",1951-09-14,2024-01-27,8159,277.01,APO,0.03
20001862,"  1862 Apollo (1932 HA)",1862,"JPL 534",1.5,0.5599,1.471,0.647,6.35,35.56,252.87,2.29,2460794.35,"Otto Matic",1930-12-13,2024-02-24,3461,286.03,APO,0.026
20001981,"  1981 Midas (1973 EA)",1981,"JPL 232",3.4,0.6505,1.776,0.621,39.82,356.80,258.81,2.93,2460843.56,"Otto Matic",1973-03-06,2023-10-26,1203,267.84,APO,0.00488
20002101,"  2101 Adonis (1936 CA)",2101,"JPL 47",0.6,0.7642,1.874,0.442,1.32,349.43,230.82,3.31,2460936.75,"Otto Matic",1936-02-21,2020-06-09,123,43.69,APO,0.0116
20002102,"  2102 Tantalus (1975 YA)",2102,"JPL 260",1.649,0.2993,1.29,0.904,64.00,94.35,78.27,1.68,2460484.14,"Otto Matic",1976-01-02,2023-08-11,2148,61.52,APO,0.0436
20002135,"  2135 Aristaeus (1977 HA)",2135,"JPL 24",,0.5030,1.6,0.795,23.07,191.11,202.31,2.40,2460924.20,"Otto Matic",1977-04-17,2020-05-30,61,290.97,APO,0.011
20002201,"  2201 Oljato (1947 XC)",2201,"JPL 275",1.80,0.7107,2.179,0.630,2.52,74.87,334.42,3.73,2460683.95,"Otto Matic",1931-12-03,2024-10-12,1446,98.37,APO,0.00259
20002340,"  2340 Hathor (1976 UA)",2340,"JPL 62",0.3,0.4500,0.8438,0.464,5.86,211.29,53.40,1.22,2460558.50,Giorgini,1976-10-25,2021-12-05,572,40.10,ATE,0.00669
20003122,"  3122 Florence (1981 ET3)",3122,"JPL 836",4.9,0.4231,1.769,1.021,22.14,336.05,0.67,2.52,2460598.89,"Otto Matic",1979-03-09,2024-10-11,8839,27.90,AMO,0.0449
20003200,"  3200 Phaethon (1983 TB)",3200,"JPL 812",6.25,0.8898,1.271,0.140,22.31,265.10,248.98,2.40,2460762.00,"Otto Matic",1983-10-27,2024-10-12,7098,322.31,APO,0.0187
20003361,"  3361 Orpheus (1982 HR)",3361,"JPL 185",0.3,0.3229,1.21,0.820,2.66,188.68,24.54,1.60,2460567.34,"Otto Matic",1982-04-24,2022-06-04,2744,302.34,APO,0.0138
20003362,"  3362 Khufu (1984 QA)",3362,"JPL 24",0.7,0.4685,0.9895,0.526,9.92,152.40,359.85,1.45,2460600.65,"Otto Matic",1984-08-30,2004-11-27,262,55.09,ATE,0.0133
20003671,"  3671 Dionysus (1984 KD)",3671,"JPL 210",1.5,0.5420,2.2,1.008,13.54,82.05,131.35,3.39,2460165.58,"Otto Matic",1984-05-27,2024-01-13,1117,204.33,APO,0.022
20003757,"  3757 Anagolay (1982 XB)",3757,"JPL 57",0.5,0.4459,1.834,1.017,3.87,74.93,293.70,2.65,2460767.65,"Otto Matic",1982-12-14,2024-08-03,209,17.24,APO,0.0372
20004015,"  4015 Wilson-Harrington (1979 VA)",4015,"JPL 331",4,0.6312,2.626,0.968,2.80,266.73,181.75,4.28,2461369.95,"Otto Matic",1949-11-19,2024-03-10,1514,95.52,APO,0.0429
20004034,"  4034 Vishnu (1986 PA)",4034,"JPL 138",0.42,0.4441,1.06,0.589,11.17,157.89,260.40,1.53,2460710.71,"Otto Matic",1986-08-02,2024-08-03,808,296.70,APO,0.0195
20004179,"  4179 Toutatis (1989 AC)",4179,"JPL 645",5.4,0.6248,2.543,0.954,0.45,125.36,339.68,4.13,2460684.14,"Otto Matic",1934-02-10,2024-10-02,6798,277.88,APO,0.00649
20004183,"  4183 Cuno (1959 LM)",4183,"JPL 654",3.651,0.6361,1.981,0.721,6.67,294.35,175.91,3.24,2460102.94,"Otto Matic",1959-06-05,2024-10-09,3840,237.02,APO,0.0281
20004450,"  4450 Pan (1987 SY)",4450,"JPL 259",,0.5866,1.443,0.596,5.52,311.70,192.17,2.29,2460895.52,"Otto Matic",1937-02-06,2022-12-24,1513,291.94,APO,0.0289
20004486,"  4486 Mithra (1987 SB)",4486,"JPL 364",1.849,0.6620,2.205,0.745,3.04,82.18,156.61,3.67,2460080.09,"Otto Matic",1987-01-29,2023-12-06,1886,169.12,APO,0.0462
20004581,"  4581 Asclepius (1989 FC)",4581,"JPL 112",,0.3570,1.023,0.658,4.92,180.20,212.12,1.39,2460755.66,"Otto Matic",1989-03-31,2021-04-18,424,255.38,APO,0.00313
20004660,"  4660 Nereus (1982 DB)",4660,"JPL 277",0.33,0.3587,1.485,0.952,1.45,313.11,191.96,2.02,2460909.06,"Otto Matic",1981-09-30,2024-01-02,4994,159.54,APO,0.00367
20004769,"  4769 Castalia (1989 PB)",4769,"JPL 147",1.4,0.4832,1.063,0.549,8.88,325.51,324.11,1.58,2460640.41,"Otto Matic",1989-08-01,2024-10-03,776,121.44,APO,0.0205
20004953,"  4953 (1990 MU)",4953,"JPL 360",,0.6574,1.621,0.555,24.38,77.53,285.02,2.69,2460757.54,"Otto Matic",1974-07-21,2024-10-12,2815,77.93,APO,0.0259
20005011,"  5011 Ptah (6743 P-L)",5011,"JPL 157",,0.5001,1.636,0.818,7.41,10.63,173.66,2.45,2460231.78,"Otto Matic",1960-09-24,2023-09-25,639,105.94,APO,0.0252
20005189,"  5189 (1990 UQ)",5189,"JPL 310",,0.4783,1.552,0.809,3.58,135.05,257.64,2.29,2460801.21,"Otto Matic",1990-10-20,2024-01-10,1789,159.95,APO,0.0448
20005604,"  5604 (1992 FE)",5604,"JPL 196",0.55,0.4061,0.9286,0.552,4.71,311.89,269.92,1.31,2460682.29,"Otto Matic",1985-04-17,2024-07-25,1179,82.68,ATE,0.0333
20005693,"  5693 (1993 EA)",5693,"JPL 440",,0.5851,1.271,0.527,5.06,96.98,203.14,2.01,2460828.42,"Otto Matic",1984-01-10,2024-04-26,2847,258.98,APO,0.00577
20006037,"  6037 (1988 EG)",6037,"JPL 165",,0.4997,1.272,0.636,3.51,182.18,249.72,1.91,2460760.94,"Otto Matic",1988-03-12,2024-07-01,1100,242.32,APO,0.0241
20006239,"  6239 Minos (1989 QF)",6239,"JPL 241",,0.4126,1.151,0.676,3.94,344.53,224.50,1.63,2460770.27,"Otto Matic",1983-01-14,2023-10-21,1502,239.77,APO,0.0263
20006489,"  6489 Golevka (1991 JX)",6489,"JPL 107",0.53,0.6151,2.484,0.956,2.27,209.42,151.88,4.01,2459997.28,"Otto Matic",1991-04-15,2015-11-03,1017,68.66,APO,0.024
20006491,"  6491 (1991 OA)",6491,"JPL 34",,0.5917,2.506,1.023,6.00,301.00,142.22,3.99,2460027.95,"Otto Matic",1991-03-18,2023-10-14,202,324.73,AMO,0.0417
20007335,"  7335 (1989 JA)",7335,"JPL 223",1.8,0.4846,1.772,0.913,15.17,61.28,349.17,2.63,2460626.41,"Otto Matic",1989-04-06,2024-04-30,2648,232.27,APO,0.0231
20007341,"  7341 (1991 VK)",7341,"JPL 445",0.982,0.5061,1.841,0.909,5.41,294.73,37.89,2.77,2460504.43,"Otto Matic",1991-09-12,2023-07-22,2443,173.48,APO,0.0471
